,transaction_id,user_id,genero,linea_tc,interes_tc,monto,fecha,hora,establecimiento,ciudad,status_txn,is_prime,dcto,cashback,fraude,anio,marca,proveedor
0,1,573,M,87000,56,581.03,02/01/20,0,Farmacia,Ciudad de México,Aceptada,False,0.0,17.43,False,2019,Apple,Telcel
1,2,737,F,34000,51,421.73,02/01/20,0,Tienda departamental,Cancún,Aceptada,False,0.0,12.65,False,2021,Huawei,ATT
2,3,887,F,52000,38,399.55,02/01/20,0,Farmacia,Tijuana,En proceso,False,0.0,11.99,False,2017,Apple,ATT
3,4,1304,M,67000,60,828.01,02/01/20,0,Tienda departamental,Ciudad de México,En proceso,False,0.0,24.84,False,2019,Samsung,ATT
4,5,1361,F,28000,52,886.04,02/01/20,0,Supermercado,Cancún,Aceptada,False,0.0,26.58,False,2021,Samsung,Telcel
5,6,1894,M,72000,53,736.88,02/01/20,0,Farmacia,Ciudad de México,En proceso,False,0.0,22.11,False,2020,Motorola,Telcel
6,7,2151,M,65000,41,160.55,02/01/20,0,Unknown,Cancún,Aceptada,False,0.0,4.82,False,2019,Samsung,Telcel
7,8,2258,F,90000,49,581.75,02/01/20,0,Abarrotes,Monterrey,Aceptada,False,0.0,17.45,False,2019,Huawei,Telcel
8,9,2339,N,35000,32,832.04,02/01/20,0,Unknown,Monterrey,Aceptada,True,0.0,24.96,False,2020,Motorola,ATT
9,10,2350,F,73000,35,654.07,02/01/20,0,Compra en línea,Toluca,Aceptada,False,0.0,19.62,False,2020,Samsung,ATT
10,11,2845,F,31000,58,797.45,02/01/20,0,Abarrotes,Ciudad de México,Aceptada,False,0.0,23.92,False,2021,Samsung,Telcel
11,12,2886,F,57000,36,1070.24,02/01/20,0,Supermercado,Ciudad de México,Rechazada,False,0.0,32.11,False,2020,Samsung,Telcel
12,13,2889,F,61000,46,409.42,02/01/20,0,Compra en línea,Monterrey,Aceptada,False,0.0,12.28,False,2018,Samsung,Telcel
13,14,2959,F,79000,62,112.59,02/01/20,0,Compra en línea,Guadalajara,Aceptada,False,0.0,3.38,False,2020,Motorola,Telcel
14,15,3120,F,42000,59,1.0,02/01/20,0,Farmacia,Toluca,Aceptada,False,0.0,0.03,False,2020,Huawei,Movistar
15,16,3829,M,63000,56,247.05,02/01/20,0,Farmacia,Monterrey,En proceso,False,0.0,7.41,False,2019,Samsung,ATT
16,17,15,M,87000,43,650.52,02/01/20,1,Compra en línea,Tijuana,Aceptada,False,0.0,32.53,False,2018,Apple,Telcel
17,18,1081,N,89000,54,356.7,02/01/20,1,Compra en línea,Guadalajara,Aceptada,False,0.0,17.84,False,2019,Samsung,Movistar
18,19,1310,F,64000,36,699.88,02/01/20,1,Unknown,Monterrey,Aceptada,True,0.0,21.0,False,2019,Motorola,Movistar
19,20,1373,M,69000,41,543.17,02/01/20,1,Compra en línea,Ciudad de México,Aceptada,False,0.0,16.3,False,2021,Apple,ATT
20,21,1804,N,91000,50,315.88,02/01/20,1,Abarrotes,Monterrey,Aceptada,False,0.0,9.48,False,2018,Samsung,Telcel
21,22,1855,M,95000,60,510.07,02/01/20,1,Unknown,Monterrey,Aceptada,False,0.0,15.3,False,2021,Samsung,Telcel
22,23,2509,F,96000,42,719.74,02/01/20,1,Farmacia,Cancún,Aceptada,False,0.0,21.59,False,2020,Samsung,Telcel
23,24,2905,F,62000,64,430.13,02/01/20,1,Abarrotes,Nezahualcóyotl,Aceptada,False,0.0,12.9,False,2021,Apple,Movistar
24,25,3255,M,66000,41,891.09,02/01/20,1,Abarrotes,Nezahualcóyotl,En proceso,False,0.0,26.73,False,2021,Motorola,Telcel
25,26,3461,M,86000,33,191.71,02/01/20,1,Abarrotes,Nezahualcóyotl,Aceptada,False,9.59,5.75,False,2017,Samsung,ATT
26,27,3993,N,98000,63,874.34,02/01/20,1,Compra en línea,Tijuana,En proceso,False,43.72,26.23,False,2015,Huawei,ATT
27,28,331,F,89000,40,1.0,02/01/20,2,Farmacia,Tijuana,En proceso,False,0.0,0.03,False,2020,Samsung,Telcel
28,29,387,M,32000,40,752.49,02/01/20,2,Tienda departamental,Monterrey,Aceptada,False,0.0,22.57,True,2015,Huawei,Telcel
29,30,848,M,29000,52,24.92,02/01/20,2,Tienda departamental,Monterrey,Aceptada,False,0.0,0.75,False,2020,Motorola,Movistar
30,31,1071,N,76000,47,385.14,02/01/20,2,Unknown,Tijuana,En proceso,False,0.0,11.55,False,2020,Apple,Movistar
31,32,1346,M,62000,46,544.91,02/01/20,2,Tienda departamental,Tijuana,En proceso,True,0.0,16.35,False,2019,Huawei,Movistar
32,33,1446,M,36000,61,1.0,02/01/20,2,Compra en línea,Nezahualcóyotl,En proceso,False,0.0,0.03,False,2017,Apple,ATT
33,34,1664,N,31000,33,718.51,02/01/20,2,Supermercado,Nezahualcóyotl,Aceptada,False,0.0,21.56,False,2020,Samsung,Movistar
34,35,1811,M,70000,63,501.65,02/01/20,2,Unknown,Monterrey,Rechazada,False,0.0,15.05,False,2017,Samsung,Movistar
35,36,2338,M,78000,41,1.0,02/01/20,2,Tienda departamental,Monterrey,Aceptada,False,0.05,0.03,False,2018,Samsung,Movistar
36,37,2352,M,47000,45,537.45,02/01/20,2,Abarrotes,Guadalajara,Aceptada,False,0.0,16.12,False,2017,Samsung,ATT
37,38,2423,F,53000,58,903.09,02/01/20,2,Farmacia,Nezahualcóyotl,Aceptada,False,45.15,27.09,False,2014,Motorola,Telcel
